studentName,subject,marks,examYear
Prudence Strosin,English,2,2020
Lucas Hoeger,Maths,63,2018
Robert Bergstrom,History,19,2016
Alberta Osinski,Science,20,2003
Laura Toy,History,21,2003
Abby Kiehn,English,11,2006
Hardy Oberbrunner,Science,82,2011
Roberta Emmerich,History,65,2020
Alene Ledner,History,33,2020
Jess Monahan,English,85,2005
Wilfredo Nikolaus,Maths,35,2019
Dax Stokes,Maths,15,2010
Barton Powlowski,History,3,2007
Marina Goldner,Maths,41,2006
Ebba Crist,Science,100,2008
Nels Stanton,Maths,76,2013
Richie McLaughlin,History,83,2001
Hillard Langworth,Science,80,2010
Keaton Langosh,Science,85,2015
Leila Funk,Maths,98,2009
Zoe Littel,Maths,96,2019
Kale Toy,Science,11,2018
Leopold Hyatt,History,76,2015
Kavon Littel,English,98,2012
Dana Renner-Koch,Maths,25,2001
Rebecca Aufderhar,English,95,2020
Bethel Considine,English,59,2004
Theron Champlin,English,26,2004
Clay Kovacek,Science,51,2005
Agnes Blick,Science,94,2015
Markus Cronin,Maths,87,2003
Ryley Hickle,English,65,2017
Charity Hills,English,29,2009
Leora Ferry,Science,49,2009
Simone Anderson,History,64,2017
Adrain Abbott,Science,94,2015
Tyrese Torphy,Science,63,2005
Margarett Hahn,Maths,66,2007
Deangelo Dickens,Maths,66,2003
Rupert Quigley,English,71,2016
Ignacio Lesch,History,17,2015
Rory McLaughlin,Science,6,2020
Giovani Ziemann,Maths,39,2017
Hosea Bosco,Science,26,2009
Felipe Schmidt,Science,48,2001
Ulises Sipes,History,48,2017
Shana Lubowitz,English,9,2009
Ova Thompson,History,61,2017
Emerson Smitham,History,71,2019
Shayna Schuster,English,15,2018
Gustave Harvey,Science,49,2019
Kole Miller,Science,51,2014
Mike Ferry,English,1,2002
Norbert Walsh,History,46,2018
Mackenzie Prosacco,Science,86,2012
Tania Glover,Science,58,2018
Tremaine Rosenbaum,Maths,41,2016
Chloe Wilderman-Schamberger,Maths,60,2006
Yvette Goldner,History,41,2005
Fae Pagac,Science,59,2012
Rylee Weissnat,Maths,50,2014
Dawn Hintz,English,61,2007
Octavia Prosacco,History,35,2017
Tony Thiel,Science,3,2010
Jaiden Harber,Maths,94,2004
Meggie Steuber,Maths,50,2009
Alvina Pfeffer,English,63,2016
Jeanette Bruen,Maths,22,2005
Elroy Weimann,History,53,2006
Kale Stroman,Maths,50,2004
William Bartoletti,English,53,2016
Elissa Collins,English,52,2013
Allison Simonis,English,85,2017
Dan Goodwin,Maths,99,2015
Dexter Lockman,History,7,2020
Wilfrid Gutmann,History,95,2013
RUBEN Mante,,89,
Antonette Ward,English,9,2016
Gonzalo Turcotte,History,91,2006
Ramona Beahan,Maths,39,2006
Emiliano Watsica,English,79,2005
Tre Breitenberg-Kling,Science,41,2012
Nigel Waelchi-Muller,English,84,2017
Flavie Gerhold,Maths,63,2020
Graciela Ullrich,English,51,2011
Sherwood Hauck,History,23,2013
Lillie nader,maths,69,2012
Kelsi Kuphal,English,5,2001
Vesta Renner,English,85,2014
Abbigail Sauer,Maths,20,2018
RUBEN Mante,SCience,89,
Filiberto Conroy-Murphy,History,71,2008
Lucile Muller,Science,14,2009
Milton Gusikowski,English,38,2009
deLTa Schultz,HIStorZ,3,2004
Fletcher Schinner,Maths,27,2013
Hoyt Corkery,History,28,2015
Tevin Kiehn,Maths,36,2018
Berniece Schulist,History,52,2019
Keagan Keeling,Maths,14,2015
Wendell McDermott,History,64,2002
Erin Dicki-Larson,English,64,2001
Mariano Mills,Maths,7,2017
Macie Frami,Science,64,2005
Twila Hessel,Science,55,2020
Dale Spencer,History,57,2011
Roberta Hartmann,Maths,68,2009
Yolanda Larkin,Maths,90,2012
Rubye Champlin,Science,31,2008
Ericka Dietrich,History,66,2010
Trinity Schultz,Maths,15,2003
Reed Watsica,Science,2,2016
Cecil Doyle,Science,71,2002
Santos Torphy,Maths,45,2017
Eveline Hoeger,Science,42,2006
Norval Lesch,Science,97,2008
Emmanuelle Rice,English,77,2009
Bartholome Langosh,History,97,2001
Shea McCullough,English,50,2002
Viva Harber,English,46,2017
Jovanny VonRueden,Maths,95,2018
Payton Mante,History,45,2010
Dane Berge,Science,43,2016
Jane Corwin,Science,48,2008
Connie Farrell,Science,78,2013
Emie Dickens,Maths,11,2006
Hillary Walsh,Maths,60,2013
Monroe Conn,History,99,2019
Zetta Crist,English,69,2018
Kristoffer Lubowitz,Science,49,2002
Alan Turcotte,History,21,2011
Dovie Armstrong,English,24,2017
Adrien Pacocha,History,14,2018
Josefa Lowe,Maths,3,2016
Wilford Leffler,Science,34,2008
Emilia Jacobson,English,61,2006
Brett Jaskolski,Maths,20,2010
Creola Jones,History,39,2015
Gennaro Spinka,Maths,62,2006
Jaylon Bartell,English,69,2012
Lauretta Prohaska,Science,12,2017
Rosalee Ratke,Maths,71,2003
Willis Bogisich,Maths,56,2007
Christelle McDermott,History,92,2016
Adelia Quigley,Maths,69,2011
Theresa Kautzer,English,3,2005
Estevan Schroeder,History,24,2001
Charles Waters,Science,2,2012
Berry Rosenbaum,Maths,55,2012
Jaquelin Rippin,English,88,2002
Saige Hilpert,History,61,2007
Scarlett KUPAL,MATHS, 53, 
Justice Towne,Science,56,2019
Webster Mosciski,Maths,65,2002
Wilma Bechtelar,History,65,2015
Tessie McCullough,Maths,21,2005
Enrique Haley,Science,14,2016
Leda Lehner,English,46,2010
Lucie Rutherford,Maths,98,2015
Buck Huel,History,55,2017
Scarlett KUPAL,MATHS, 53, 
Yazmin Schaden,English,36,2019
Caroline Heller,History,46,2016
Jazmyn O&#x27;Keefe,History,76,2012
Cristian Erdman,History,45,2018
Emerson Fisher,Maths,96,2014
Scarlett KUPAL,, 53, 
Rogelio Rodriguez,Maths,7,2017
Guiseppe Morissette,English,10,2003
Sidney Wisozk,Science,65,2018
Neil Larkin,Science,14,2002
Lavina Hirthe,Science,99,2007
Scarlett KUPAL,, 53, 
Selmer Hintz,English,56,2016
Myrtis Schulist,English,78,2015
Kaycee Powlowski,History,48,2020
Simeon O&#x27;Hara,Maths,80,2008
Ada Bednar,History,32,2010
Zachary Lemke,Science,58,2006
Connor Johnson,Science,33,2019
Jude Labadie,English,8,2019
